FLORACODE,KEY,SOURCE,SURVEYNAME,SIGHTINGDATE,DATEACCURACY,OBSERVER,NUMOBSERVED,MUSEUMHERBMNR,RELIABDESC,AMGZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPRELIABCODE,NSXCODE,SPECIES,FAMILYNAME,COMNAME1,SIGHTINGCOMM,HABITATCOMM,LOCATIONCOMM,RESERVENAME,ISINDIGENOUSFLAG
OPP849568-1,OPP849568-1,OP,KANGAROO ISLAND NARROW-LEAVED MALLEE TEC,7/11/18,D,WIADROWSKI R. Rory,1,,0-5m,53,743618,6031451,-35.83088,137.69697,Y,E04578,Asparagus declinatus,LILIACEAE,,,,Three Chain Road south of Hog Bay Road,,N
SUP5341-1,SUP5341-1,SU,OFFSHORE ISLANDS,19/9/80,D,ROBINSON A.C. Tony | CANTY P.D. Peter,present but not counted,,101-250m,53,617929,6180271,-34.51247,136.28474,Y,M01130,Atriplex paludosa ssp. cordata,CHENOPODIACEAE,Marsh Saltbush,,,17km E from Pt Bolingbroke.,Sir Joseph Banks Group (CP),Y
OPP825972-2,OPP825972-2,OP,LOFTY BLOCK EPBC THREATENED ORCHIDS,5/12/18,D,DAVIS L. Leo | LOWREY E Edward | BRIDLE T. Thelma,1,,0-5m,54,277244,6082996,-35.37151,138.548,Y,Q06068,Prasophyllum murfetii,ORCHIDACEAE,Maroon Leek-orchid,Status = Leaf ; New Tag No. = 983b; Dist. & Dir. (tag to plant) = 8 cm 270o. Caged,,,Stipiturus (CP),Y
SUP484-42-AD99505293,SUP484-42-AD99505293,SU,MIDNORTH,26/10/92,D,NEAGLE N.R. Nick | KINNEAR A.J. (Sandy),present but not counted,AD99505293,5-50m,54,235426,6370884,-32.76815,138.17562,Y,K04033,Cheilanthes austrotenuifolia,ADIANTACEAE,Annual Rock-fern,,,Distance from site to gate is 350 metres - between 2nd and 3rd creeklines. Site in Mt Remarkable National Park.,Mount Remarkable (NP),Y
RVPO96351-435515,RVPO96351-435515,RV,,30/6/14,D,NEW B.D. Bill | EDWARDS J.S. Jeff,present but not counted,,251-500m,53,763851,6184727,-34.44529106,137.8717804,P,M01862,Oxalis pes-caprae,OXALIDACEAE,Soursob,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus porosa +/- Allocasuarina verticillata Woodland,Bush RD 4.6 km NNW of James Well,,N
OPP799054-35,OPP799054-35,OP,BDBSA RESERVES DATABASE,18/10/88,D,HODDER M.W. Mike,present but not counted,,501-1000m,54,387678,6098834,-35.24729,139.7654,Y,E02406,Acrotriche affinis,EPACRIDACEAE,Ridged Ground-berry,,**Birds** Suitable for Crested Bellbird Purple-gaped Honeyeater Shy Hylacola W-W Chough/ Southern Scrub Robin recorded 18/10/88,SHERLOCK : LOT 1 OF DP 12141 IN SEC 45,285 (HA),Y
RVPO4755-17415,RVPO4755-17415,RV,,10/3/98,D,CLARK P.D. Peter | COLES R.B. Robin,present but not counted,,51-100m,54,293225,6128878,-34.961552,138.7352802,P,A10780,Pinus sp.,PINACEAE,Pine,Collected using the DEWNR Roadside Vegetation Survey Methodology,Mixed Exotic+/- Native sp. Plantation,Picadilly RD 0.5 km ESE of Summertown,,N
OPP518577-101,OPP518577-101,OP,FORESTRY SA FLORA AND FAUNA RECORDS,1/10/06,M,BATES R.J. Rob,present but not counted,,1-10km,54,253921,6063280,-35.54361,138.28555,Y,M02434,Leucopogon virgatus var. virgatus,EPACRIDACEAE,Common Beard-heath,Taxonomic change since time of observation: recorded as Leucopogon virgatus (NC).  Scattered in all.,The various woodland types include within each of the 3 blocks: 1. Messmate stringy-bark rough stringy-bark in Congeratinga pink gum and manna gum in Kalamunda with small areas of SA blue-gum. 2. Swampy vegetation types include Eucalyptus ovata swamps with silky titree thickets cutting grass or s,Centroid for Congeratinga NFR Kalumunda NFR and Springs Road NFR part of Second Valley Forest reserve. East of Cape Jervis Second Valley and Dinglebadinga on Fleurieu Peninsula. Centroid positioned north of Springs Road NFR.,Springs Road (NF),Y
OPP422919-3,OPP422919-3,OP,MURRAY WETL'D ONGOING SAMDB NRMB,21/12/07,D,MASON K.P. Kate,present but not counted,,5-50m,54,371229,6184534,-34.47273,139.59782,Y,S00377,Sporobolus mitchellii,GRAMINEAE,Rat-tail Couch,,,,,Y
RVPU35302-36249,RVPU35302-36249,RV,,1/11/00,D,TELFER W.R. Wendy,present but not counted,,1-10km,54,275886,6345309,-33.00764428,138.6009785,P,A04208,Bursaria spinosa ssp. spinosa,PITTOSPORACEAE,Sweet Bursaria,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus leucoxylon Woodland,#651 continuation RD 2.6 km E of Mount Williams (summit),,Y
OPP846689-73,OPP846689-73,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,18/1/19,D,PICKETT M.I. Marcus,Present but not counted,,501-1000m,54,289100,6128700,-34.96231,138.69008,Y,W02359,Daucus glochidiatus,UMBELLIFERAE,Native Carrot,,See other comments,Cleland (Long Ridge) S20 B2 FIMS ID 165 (2 km WNW of Mt Lofty),Cleland (CP),Y
RVPU62722-78968,RVPU62722-78968,RV,,18/10/02,D,CLARK P.D. Peter | HIGGINS G.M. Graeme,present but not counted,,251-500m,54,465257,6210907,-34.2423533,140.6227113,P,Q01184,Maireana brevifolia,CHENOPODIACEAE,Short-leaf Bluebush,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus oleosa Mallee,Burra - Renmark RD 2.9 km WNW of Lyrup,,Y
RVPO59321-262217,RVPO59321-262217,RV,,4/6/02,D,KUBISCH R.V. Ronald | BATEMAN T.V. Teresa,present but not counted,,251-500m,54,318758,6188350,-34.43045847,139.0275346,P,W03379,Pinus radiata,PINACEAE,Radiata Pine,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus leucoxylon ssp. Open Woodland,Research RD 1 km SSW of Ebenezer,,N
RVPO38088-166181,RVPO38088-166181,RV,,5/12/00,D,PLAYFAIR R.M. Roger | OBST C.S. Chris,present but not counted,,1-10km,54,431908,6018521,-35.97535542,140.2447359,P,U00898,Banksia ornata,PROTEACEAE,Desert Banksia,Collected using the DEWNR Roadside Vegetation Survey Methodology,Banksia ornata Shrubland,Dukes HWY 3 km ESE of Coombe,,Y
RVPU17266-13908,RVPU17266-13908,RV,,2/8/99,D,CLARK P.D. Peter | HIGGINS G.M. Graeme,present but not counted,,1-10km,53,571930,6182930,-34.49273407,135.7834417,P,Z20203,Xanthorrhoea semiplana ssp.,LILIACEAE,Yacca,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus cladocalyx Forest,Reservoir DR 0.9 km WSW of Bald Hill (summit),,Y
SUP27750-228805,SUP27750-228805,SU,GAWLER CRATON,4/4/06,D,KENNY S.D. Sue | KLUSKE G.M. Gavin,present but not counted,,5-50m,52,729862,6623457,-30.49921,131.39502,Y,S04565,Salsola australis,CHENOPODIACEAE,Buckbush,,,,,Y
RVPU96658-170209,RVPU96658-170209,RV,,1/7/14,D,NEW B.D. Bill | EDWARDS J.S. Jeff,present but not counted,,501-1000m,53,751729,6173440,-34.549992,137.7433086,P,M00666,Asphodelus fistulosus,LILIACEAE,Onion Weed,Collected using the DEWNR Roadside Vegetation Survey Methodology,Grassland / Herbland dominated by exotic species,McFarlane RD 5.4 km SSW of Sandilands,,N
SUP17424-61334,SUP17424-61334,SU,FLINDERS RANGES,24/11/99,D,CANTY P.D. Peter,present but not counted,,101-250m,54,234992,6340079,-33.04558,138.16215,Y,M04730,Lomandra multiflora ssp. dura,LILIACEAE,Hard Mat-rush,,,,Wirrabara Range (CP),Y
RVPO3830-14429,RVPO3830-14429,RV,,2/12/97,D,CLARK P. Pat | CLARK P.D. Peter,present but not counted,,101-250m,54,306290,6137221,-34.88895647,138.8802215,P,W10763,Phalaris sp.,GRAMINEAE,Canary Grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Grassland dominated by exotic species,John Fisher AVE 1.1 km ESE of Nitschke Hill (summit),,N
OPP608567-1,OPP608567-1,OP,DEFEATING THE WEED MENACE-ONGROUND WORKS,26/5/15,D,NOT ENTERED - SEE ORIGINAL DATA  -,1,,5-50m,54,391588,5965120,-36.45305,139.7902,Y,M02662,Lycium ferocissimum,SOLANACEAE,African Boxthorn,treated with grasslan applied. Herbicide applied from helicopter,,,Coorong (NP),N
OPP413225-235,OPP413225-235,OP,AMLR NRM SOUTH PARA,1/1/04,M,BATES R.J. Rob,present but not counted,,101-250m,54,315648,6151607,-34.76105,138.98573,Y,M01994,Tetratheca pilosa,TREMANDRACEAE,Hairy Pink-bells,In section C.,Plant species list was collected from the whole property.  Property divided up into section A B C D.  Section A - Eucalyptus goniocalyx E. fasciculosa & Acacia pycnantha.  Good cover of orchids and lillies.  Section B - House block which includes: regenerating grassy woodlandwith reedy seepage a,Lot 181 Altmann Road Cromer.  8.2 ha property.  Named Stringybark Sanctuary.   The property has been divided up into sections A B C and D for survey.,,Y
SUP11799-8,SUP11799-8,SU,YORKE PENINSULA,21/9/94,D,MURFET D.E. Denzel | TAPLIN R.L. Rosemary,present but not counted,,51-100m,53,728920,6213948,-34.19035,137.48416,Y,Y03304,Senecio glossanthus (NC),COMPOSITAE,Annual Groundsel,,,Site shown on photo as lighter behind foredune is interdune swale of sea rush saltbush bluebush boobialla dodder over low salt grasses and herbs.,,Y
OPP562037-5,OPP562037-5,OP,SCIENTIFIC PERMIT DATA - APPROVED,2/4/14,D,NICOL J. Jason,present but not counted,,5-50m,54,317673,6070784,-35.48977,138.99002,Y,Y03320,Senecio pterophorus,COMPOSITAE,African Daisy,,,,,N
OPP403941-197,OPP403941-197,OP,AMLR NRM SOUTH PARA,1/11/04,M,BATES R.J. Rob,present but not counted,,1-10km,54,318199,6158458,-34.69976,139.01506,Y,E02502,Galium divaricatum,RUBIACEAE,Slender Bedstraw,,Plant species list was collected from the whole property.  Southern fenced off section comprises of: Blue gum Long-leafed box and Pink gum Grassy Woodland with patches of Yacca.  Northern smaller fenced section comprises of: Grassy Sedge-land under River red gums by Springton Road.  There is a graz,Williamstown to Springton Road.  South Para Catchment.  108 ha property adjacent to pine tree plantations owned by Forestry SA.  Entrance to remnant vegetation is through forestry land off Glen Devon Road.,,N
RVPO35446-155345,RVPO35446-155345,RV,,2/11/00,D,TELFER W.R. Wendy,present but not counted,,51-100m,54,257106,6330596,-33.1361959,138.396213,P,G00127,Austrostipa blackii,GRAMINEAE,Crested Spear-grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Lomandra multiflora ssp. dura Open Tussock Grassland,Caltowie-Stone Hut RD 2 km NNE of Caltowie West,,Y
SUP8002-12-AD99418156,SUP8002-12-AD99418156,SU,SOUTH OLARY PLAINS,22/7/91,D,CHOATE J.H. John | FORWARD L.R. Lesley,present but not counted,AD99418156,5-50m,54,367872,6388678,-32.63159,139.59148,Y,W02103,Sida intricata,MALVACEAE,Twiggy Sida,Very grazed.,,2 km NW from Gum Well.,,Y
RVPO70224-308708,RVPO70224-308708,RV,,1/10/03,D,MASON S.J. Sam | OBST C.S. Chris,present but not counted,,1-10km,54,465848,6163056,-34.67389654,140.6272092,P,U05102,Eucalyptus phenax (NC),MYRTACEAE,Sessile-fruit White Mallee,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus phenax Mallee +/- E. cyanophylla +/- E. brachycalyx,Wormald RD 5.1 km NNE of Malpas,,Y
OPP472389-1,OPP472389-1,OP,KANGAROO ISLAND WEEDS REGISTER,10/6/09,D,KANGAROO ISLAND - DEWNR K.I. DEWNR,present but not counted,,5-50m,53,723181,6034822,-35.80538,137.46998,Y,E04578,Asparagus declinatus,LILIACEAE,,,,,,N
RVPO29681-129876,RVPO29681-129876,RV,,13/12/99,D,WARD M.J. Mathew | O'CONNOR P.J. Patrick,present but not counted,,251-500m,54,415332,5855538,-37.44312716,140.0428443,P,K03753,Acacia longifolia ssp. sophorae,LEGUMINOSAE,Coastal Wattle,Collected using the DEWNR Roadside Vegetation Survey Methodology,Acacia longifolia var. sophorae / Leucopogon parviflorus +/- Olearia axillaris Tall shrubland,Bray Junction - Beachport RD 5.2 km SSW of Woakwine,,Y
SUP11339-15,SUP11339-15,SU,PYGMY BLUE TONGUE PROJECT,3/12/92,D,CROFT T.S. Tim,present but not counted,,51-100m,54,315622,6271478,-33.68064,139.01101,Y,K01181,Maireana aphylla,CHENOPODIACEAE,Cotton-bush,,,,,Y
OPP961616-1,OPP961616-1,OP,BUFFEL GRASS - SOUTHERN 2/3RDS OF AW NR,8/10/14,D,MARSHALL L. Lynda,1,,5-50m,52,634936,6612119,-30.61591,130.40777,Y,C05369,Cenchrus ciliaris,GRAMINEAE,Buffel Grass,Treatment = Spread ChemicalUsed = Grazlan,,Railway Corridor/Cook Airfield,,N
OPP424263-6,OPP424263-6,OP,MURRAY WETL'D ONGOING SAMDB NRMB,2/4/09,D,NICKOLAI C.A. Callie,present but not counted,,5-50m,54,377882,6227387,-34.08718,139.67632,Y,W00491,Cyperus gymnocaulos,CYPERACEAE,Spiny Flat-sedge,,Aster,,,Y
RVPU79703-120442,RVPU79703-120442,RV,,26/7/04,D,POUND L.M. Leanne | OBST C.S. Chris,present but not counted,,101-250m,54,386926,6121957,-35.03874918,139.7602997,P,U02294,Melaleuca lanceolata ssp. lanceolata (NC),MYRTACEAE,Dryland Tea-tree,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus oleosa Mallee,Hundred Line RD 8.3 km SSW of Perponda,,Y
OPP798292-49,OPP798292-49,OP,BDBSA RESERVES DATABASE,19/3/84,Y,WHISSON C. Craig,present but not counted,,501-1000m,54,496069,5867239,-37.34153,140.95562,Y,K01669,Dillwynia glaberrima,LEGUMINOSAE,Smooth Parrot-pea,,**Birds** Suitable for Red-tailed Black Cockatoo (known colony in HA) Brown Quail White-bellied Cuckoo-shrikeChestnut-rumped HylacolaBlack-chinned HoneyeaterOlive-backed Oriole**Rem** 4% (Hd of Penola)**Environmental Association** = 9% (Nanagwarry =,PENOLA : 210 211,555 (HA),Y
RVPO47679-205819,RVPO47679-205819,RV,,12/10/01,D,CLARK P.D. Peter,present but not counted,,251-500m,54,248726,6059933,-35.57244995,138.2272626,P,C15065,Gramineae sp.,GRAMINEAE,Grass Family,Collected using the DEWNR Roadside Vegetation Survey Methodology,Exotic Grassland,(171) URR 1.3 km SSW of Bullaparinga Hill (summit),,Y
RVPU83870-131140,RVPU83870-131140,RV,,3/9/06,D,POUND L.M. Leanne | OBST C.S. Chris,present but not counted,,501-1000m,54,436910,6100893,-35.23304036,140.3066498,P,Q01504,Enchylaena tomentosa var. tomentosa,CHENOPODIACEAE,Ruby Saltbush,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus calycogona ssp. / E. phenax ssp. phenax Mallee,Day RD 4.8 km NNE of Prominent Hill (summit),,Y
RVPO87305-395094,RVPO87305-395094,RV,,8/5/08,D,O'NEILL S. Sally | FRAZER D.S. Deb,present but not counted,,101-250m,54,320138,6240599,-33.95975796,139.053399,P,C02261,Eucalyptus porosa,MYRTACEAE,Mallee Box,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus porosa Low Woodland,Black Springs RD 4.2 km NNW of Robertstown,,Y
RVPO9321-33143,RVPO9321-33143,RV,,14/11/98,D,CLARK P.D. Peter | BEVAN K. Kirsty,present but not counted,,501-1000m,53,567181,6226657,-34.09873136,135.7283142,P,S20109,Hordeum vulgare ssp. (NC),GRAMINEAE,,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus socialis Mallee,Todd HWY 4.7 km NNW of Yeelanna,,N
RVPO25839-112671,RVPO25839-112671,RV,,7/12/99,D,PLAYFAIR R.M. Roger | OBST C.S. Chris,present but not counted,,1-10km,54,250084,6399887,-32.51022937,138.339701,P,Y01412,Carrichtera annua,CRUCIFERAE,Ward's Weed,Collected using the DEWNR Roadside Vegetation Survey Methodology,Grassland / Herbland dominated by alien species,Hammond - Carrieton RD 2.7 km ENE of Hammond,,N
SUP15278-9,SUP15278-9,SU,UPPER MID NORTH,23/10/96,D,GRAHAM K.L. Kate | BARNES M.K. Merrilyn,present but not counted,,5-50m,54,292998,6400426,-32.5142,138.79631,Y,U01214,Maireana turbinata,CHENOPODIACEAE,Top-fruit Bluebush,,,Take the Orroroo - Minburra road and drive approx 27km until you reach an intersection of 3 vehicle tracks. Continue for approx 1km and the site is located on the western side of the road - look for a large Euc. longifolia.,,Y
SUP478-54,SUP478-54,SU,MIDNORTH,29/10/92,D,CANTY P.D. Peter | HEARD L.M.B. Lee,present but not counted,,5-50m,54,225710,6371259,-32.76239,138.07213,Y,K00277,Avellinia festucoides,GRAMINEAE,Avellinia,,,Approx 1.2 km from Blue Gum Flat (Mt Remarkable NP).,Mount Remarkable (NP),N
OPP557186-15,OPP557186-15,OP,MLR BIOFUND RESTORATION PROJECT,10/9/14,D,CROFT S.J. Sonia | CROFT T.S. Tim,present but not counted,,51-100m,54,298273,6132231,-34.93236,138.79134,Y,G00583,Acrotriche serrulata,EPACRIDACEAE,Cushion Ground-berry,,,,,Y
OPP498357-1,OPP498357-1,OP,SAMDB NRMB PEST OPS,13/7/11,D,VIGAR S. Steve,present but not counted,,5-50m,54,413136,6103527,-35.20751,140.04568,Y,Y02600,Marrubium vulgare,LABIATAE,Horehound,DENSITY = 11 - 50 percent.SITE STATUS = Active.Source = Mallee & Coorong.,,,,N
OPP798960-22,OPP798960-22,OP,BDBSA RESERVES DATABASE,28/4/92,D,CARPENTER G.A. Graham | CROFT T.S. Tim,present but not counted,,1-10km,53,506449,6376317,-32.75098,135.06884,Y,Z00959,Amyema melaleucae,LORANTHACEAE,Tea-tree Mistletoe,,**Birds** Bluebreasted FairywrenChestnut QuailthrushMalleefowl (old mound) Southern WhitefaceChestnut-rumped ThornbillJackyWinter recored 28/4/92 Suitable for Rufous Treecreeper W-W Chough**Environmental Association** 9% (Wirrula = 4.3.24)**Hundred,CONDADA : 2 14. 2 blocks separated only by an unmade government road.,878 (HA),Y
SUP15755-6,SUP15755-6,SU,COASTAL DUNE & CLIFFTOP,19/9/97,D,FOTHERINGHAM D.G. Doug | SCHUTZ S.C. Sandra,present but not counted,,5-50m,53,673908,6107933,-35.1565,136.90933,Y,M01318,Cassytha glabella f. dispar,LAURACEAE,Slender Dodder-laurel,,,South of Gym Beach.,Innes (NP),Y
RVPO60888-260467,RVPO60888-260467,RV,,10/10/02,D,PLAYFAIR R.M. Roger | HORGAN M.A. Melissa,present but not counted,,101-250m,54,299219,6371331,-32.77762697,138.8562493,P,M00218,Hordeum glaucum,GRAMINEAE,Blue Barley-grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Grassland / Herbland dominated by alien species, RD 5.6 km NNE of Barra Hill (summit),,N
OPP176426-1509936-AD143564,OPP176426-1509936-AD143564,OP,MISC. OPPORTUNE RECORDS,16/1/02,D,LANG P.J. Peter,present but not counted,AD143564,5-50m,54,288833,6126940,-34.97811,138.68672,Y,C03205,Ixodia achillaeoides ssp. alata,COMPOSITAE,Hills Daisy,,Track margin. Eucalyptus obliqua Low Open Forest.,Cleland Conservation Park Mireen track E of Eagle-on-the-Hill.,,Y
SUP503792-16,SUP503792-16,SU,GRASSLANDS - LWR NORTH,24/10/12,D,SHACKLEY A. Adrian | ALLANSON A Andrew | KUYS J. Janet,present but not counted,,5-50m,54,288148,6164138,-34.6428,138.6886,Y,W03043,Conyza bonariensis,COMPOSITAE,Flax-leaf Fleabane,No voucher.,,,,N
OPP655287-2,OPP655287-2,OP,CLLMM EMERGENT AQUATIC VEG MAPPING,1/5/14,M,NICOL J. Jason | STRAWBRIDGE A. Aaron | GEHRIG S. Susan,present but not counted,,251-500m,54,320459,6081371,-35.39487,139.02305,Y,Y00160,Phragmites australis,GRAMINEAE,Common Reed,Species was recorded at a density of 90% along length of 800 m transect (approx. length),,Shoreline of Lake Alexandrina,,Y
RVPO64072-274734,RVPO64072-274734,RV,,25/11/02,D,PLAYFAIR R.M. Roger | BENNETT F.J. Fiona,present but not counted,,251-500m,53,737298,6383187,-32.66350479,137.5303289,P,Y03012,Carthamus lanatus,COMPOSITAE,Saffron Thistle,Collected using the DEWNR Roadside Vegetation Survey Methodology,Acacia papyrocarpa Very Low Woodland,Lincoln HWY 4.7 km NNW of Simmons Hill (summit),,N
OPP800831-120,OPP800831-120,OP,BDBSA RESERVES DATABASE,1/1/98,Y,MURFET D.E. Denzel,present but not counted,,501-1000m,54,427060,5962086,-36.48375,140.18571,Y,C02413,Astroloma humifusum,EPACRIDACEAE,Cranberry Heath,,,,Jip Jip (CP),Y
OPP57652-1801618,OPP57652-1801618,OP,PAMS - PARK ASSET DATABASE,19/4/02,D,ROBERTSON M.A. Meg,present but not counted,,501-1000m,54,288815,6148358,-34.78512,138.69192,Y,E10950,Austrostipa sp.,GRAMINEAE,Spear-grass, ; Reserve type= RP; Reserve Code= 21; PAMS_PARK_ID= 244;  ; Braun-Blanquet= 2;  ;  ; Date_Stamp= 06-Aug-02;,,,Cobbler Creek (RP),Y
OPP798834-64,OPP798834-64,OP,BDBSA RESERVES DATABASE,7/3/91,D,CARPENTER G.A. Graham | CROFT T.S. Tim,present but not counted,,1-10km,53,633508,6294741,-33.4785,136.43693,Y,A00520,Gahnia lanigera,CYPERACEAE,Black Grass Saw-sedge,,**Birds** Suitable for Blue-Breasted Fairy-Wren (V) & Painted Button-Quail (V)**Rem** Hd = 8% Messenger Environmental association (4.3.17) 16%,CAMPOONA : 24,877 (HA),Y
OPP798546-71,OPP798546-71,OP,BDBSA RESERVES DATABASE,9/2/90,D,HODDER M.W. Mike | CROFT T.S. Tim,present but not counted,,1-10km,54,409844,6042171,-35.76037,140.00271,Y,E01674,Eutaxia microphylla,LEGUMINOSAE,Common Eutaxia,,**Birds** Suitable for Malleefowl Painted Button-Quail plus 9 species rated uncommonE fasciculosa + E leucoxylon woodland possibly rare in South East**Rem** 23%(Lewis)Env Assoc=(Carcuma)(2.2.14)=37%,LEWIS : LOT 1 IN FP 15278 IN PT SEC RSA,533 (HA),Y
SUP16329-12938,SUP16329-12938,SU,SANDY DESERT,17/9/98,D,ROBINSON A.C. Tony,present but not counted,,51-100m,53,742659,7074702,-26.42728,137.43313,Y,U04786,Ptilotus polystachyus var. polystachyus f. polystachyus (NC),AMARANTHACEAE,Long-tails,,,Site is 5.4km east of Erabena / Rig Road Junction on the Rig Road. Pegs on the southern side of track approx 30m in. Site is broad undulating swale of Acacia ramulosa - Acacia ligulata - Scaevola - Salsola and Abutilon.,Munga-Thirri--Simpson Desert (CP),Y
RVPU49280-60705,RVPU49280-60705,RV,,13/12/01,D,DUNBAR K.R. Kelly | COOLING M.P. Marcus,present but not counted,,251-500m,54,343132,6089239,-35.32778644,139.2741095,P,C10473,Halosarcia sp. (NC),CHENOPODIACEAE,Samphire,Collected using the DEWNR Roadside Vegetation Survey Methodology,Nitraria billardierei Open shrubland,Strathalbyn to Wellington RD 1.7 km SSE of Grote Hill (summit),,Y
SUP31481-283191,SUP31481-283191,SU,MARQUALPIE LAND SYSTEM,25/9/08,D,NEAGLE N.R. Nick | KLUSKE G.M. Gavin,present but not counted,,5-50m,54,489134,7027184,-26.87699,140.8906,Y,Z02671,Nicotiana velutina,SOLANACEAE,Velvet Tobacco,,,,,Y
SUP3579-35,SUP3579-35,SU,MURRAY MALLEE,24/7/90,D,GILLEN J.S. Jake | CANTY P.D. Peter,present but not counted,,5-50m,54,391538,6030678,-35.86212,139.79869,Y,C01981,Leionema microphyllum,RUTACEAE,Limestone Phebalium,,,2.75 km SE from Mt Boothby.,Mount Boothby (CP),Y
OPP721876-23,OPP721876-23,OP,DEWNR FIRE MANAGEMENT RAMBLE OBS,28/8/16,D,GREHN U Ute,present but not counted,,501-1000m,53,672671,6095208,-35.27139,136.89842,Y,Z05883,Eucalyptus diversifolia ssp. diversifolia,MYRTACEAE,Coastal White Mallee,,Numerous orchids especially on otherwise thinly vegetated ground underneath mallee,Inneston to wetland,Innes (NP),Y
OPP865812-8,OPP865812-8,OP,EBS ECOLOGY - FLORA & FAUNA SURVEY SA,6/4/08,D,HOW T.L. Travis,present but not counted,,5-50m,53,555227,6714908,-29.69469,135.57087,Y,S04565,Salsola australis,CHENOPODIACEAE,Buckbush,,,,,Y
OPP355483-1792375,OPP355483-1792375,OP,KI THREATENED PLANT PROJECT,7/9/02,D,TAYLOR D. David,present but not counted,,5-50m,53,734270,6036999,-35.78319,137.59196,Y,G04015,Spyridium eriocephalum var. glabrisepalum,RHAMNACEAE,Macgillivray Spyridium,PLANTSNUM= 2; SUBPOP= C,,,Beyeria (CP),Y
SUP23554-194500-AD176082,SUP23554-194500-AD176082,SU,EYRE PENINSULA FAUNA,31/8/04,D,CANTY P.D. Peter | LANG P.J. Peter,present but not counted,AD176082,5-50m,53,553175,6242545,-33.95626,135.57551,Y,A05976,Wurmbea dioica ssp. brevifolia,LILIACEAE,Early Nancy,Mauve-pink flower.,,Photopoint 10 m north of fence at WPT 031. (53/E553185/N6242523). Photopoint direction 10 degrees.,,Y
RVPO15840-64078,RVPO15840-64078,RV,,22/12/98,D,O'CONNOR P.J. Patrick | MIBUS R. RAELENE,present but not counted,,251-500m,54,491038,6122790,-35.0375309,140.901738,P,M00666,Asphodelus fistulosus,LILIACEAE,Onion Weed,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus socialis  / E. leptophylla Mallee with Melaleuca lanceolata +/- M. acuminata tall shrubland,Pinaroo to Loxton RD 7.4 km WSW of Boltons,,N
RVPU24520-22605,RVPU24520-22605,RV,,26/11/99,D,CLARK P.D. Peter | HIGGINS G.M. Graeme,present but not counted,,101-250m,53,435269,6364188,-32.85849272,134.3081702,P,E10950,Austrostipa sp.,GRAMINEAE,Spear-grass,Collected using the DEWNR Roadside Vegetation Survey Methodology,Eucalyptus gracilis Mallee,Flinders HWY 10.6 km WNW of Maryvale,,Y
SUP7421-7,SUP7421-7,SU,NULLARBOR,5/4/84,D,CANTY P.D. Peter,present but not counted,,0-5m,52,507827,6497412,-31.65851,129.08256,Y,S04565,Salsola australis,CHENOPODIACEAE,Buckbush,,,8 km SE from Border Village.,Nullarbor (WA),Y
SUP1625-5,SUP1625-5,SU,WESTERN MURRAY FLATS,27/4/92,D,HILL S.S. N/A | ADAMS G.R. Graham,present but not counted,,5-50m,54,363486,6180899,-34.50451,139.51295,Y,U20070,Enchylaena tomentosa var.,CHENOPODIACEAE,Ruby Saltbush,,,Track not well defined 75 m from stoby pole no. 20 to point at which turn south - 45 m from pipeline road to track then another 45 m to the north east corner of quadrat.,1527 (HA),Y
SUP13770-12,SUP13770-12,SU,HAPPY VALLEY DISTRICT COUNCIL,10/10/94,D,ROBERTSON M.A. Meg,present but not counted,,51-100m,54,288172,6103478,-35.18936,138.67348,Y,K04985,Hibbertia australis (NC),DILLENIACEAE,Stalked Guinea-flower,,,Peter Creek Road. W from Kuitpo Forest Reserve (Knott Hill).,,Y
OPP800905-18,OPP800905-18,OP,BDBSA RESERVES DATABASE,12/2/93,D,BYARD E.J. Liz | CROFT S.J. Sonia,present but not counted,,1-10km,53,648575,6249580,-33.88368,136.6066,Y,E10950,Austrostipa sp.,GRAMINEAE,Spear-grass,,,5 km NE of Arno Bay.,1026 (HA),Y
OPP539593-6,OPP539593-6,OP,SCIENTIFIC PERMIT DATA - APPROVED,12/11/13,D,NICOL J. Jason,present but not counted,,5-50m,54,350287,6053158,-35.65408,139.34614,Y,S00421,Cenchrus clandestinus,GRAMINEAE,Kikuyu,,,,,N
