"","dwc:catalogNumber","FLORACODE","dwc:samplingProtocol","SURVEYNAME","dwc:eventDate","DATEACCURACY","Date Accuracy Range","dwc:identifiedBy","dwc:individualCount","MUSEUMHERBMNR","RELIABDESC","AMGZONE","EASTING","NORTHING","dwc:decimalLatitude","dwc:decimalLongitude"," dwc:identificationVerificationStatus","dwc:scientificName","dwc:family","dwc:vernacularName","dwc:fieldNotes","dwc:Habitat","dwc:georeferenceRemarks","dwc:SamplingLocationRemarks","ISINDIGENOUSFLAG"
"568","SUP8690-10","SUP8690-10","SU","SOUTH EAST",1991-09-05,"D","Day","TUCKWELL R.T. Rick | HEARD L.M.B. Lee","present but not counted","","5-50m",54,468786,5830851,-37.66899,140.64606,"verified","Amyema pendula ssp. pendula","LORANTHACEAE","Drooping Mistletoe","","","Flat area between two swamps in an interdunal swale.","Hacket Hill (NF)","Y"
"569","SUP9108-20","SUP9108-20","SU","FLINDERS MANAGEMENT REVIEW",1991-08-04,"D","Day","NOT ENTERED - SEE ORIGINAL DATA  -","present but not counted","","No entered",54,268573,6584179,-30.85302,138.57987,"verified","Rhodanthe pygmaea","COMPOSITAE","Pigmy Daisy","","","4km S from Bob Mooney Well.","","Y"
"570","RVPO22663-97253","RVPO22663-97253","RV","",1999-11-19,"D","Day","OBST C.S. Chris | TELFER S. Sarah","present but not counted","","101-250m",54,321529,6171141,-34.58603813,139.0540777,"verification required","Avena barbata","GRAMINEAE","Bearded Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus camaldulensis Woodland with grassy understorey","Karra Yerta RD 3.4 km NNE of Flaxman Valley","","N"
"571","SUP400907-6","SUP400907-6","SU","YALATA LAND MANAGEMENT BASELINE",2001-12-13,"D","Day","O'CONNOR P.J. Patrick | JURY T. Tim","present but not counted","","5-50m",52,725411,6526696,-31.37242,131.37011,"verified","Rhagodia crassifolia","CHENOPODIACEAE","Fleshy Saltbush","","","","","Y"
"572","OPP478453-1","OPP478453-1","OP","KANGAROO ISLAND WEEDS REGISTER",2010-06-22,"D","Day","STRONG M. Mathew","present but not counted","","5-50m",53,680983,6018247,-35.96342,137.00702,"verified","Asparagus asparagoides f.","LILIACEAE","Bridal Creeper"," Number Observed = 5 to 10.Juvenile.","","","","N"
"573","OPP695183-3","OPP695183-3","OP","YORKE DISTRICT AERIAL BOXTHORN CONTROL",2016-04-13,"D","Day","SWALES J. Jasmine | ANDERSON T. Tim","Present but not counted","","5-50m",53,666585,6101818,-35.21285,136.8302,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","","Pondi to Gym; Boxthorn control site - aerial application of Graslan herbicide","Innes (NP)","N"
"574","SUP9139-1","SUP9139-1","SU","FLINDERS MANAGEMENT REVIEW",1991-08-01,"D","Day","NOT ENTERED - SEE ORIGINAL DATA  -","present but not counted","","No entered",54,273973,6595679,-30.75039,138.63883,"verified","Sclerolaena longicuspis","CHENOPODIACEAE","Long-spine Bindyi","","","3km N from Warraweena.","","Y"
"575","RVPO58015-246676","RVPO58015-246676","RV","",2002-05-15,"D","Day","KUBISCH R.V. Ronald | BATEMAN T.V. Teresa","present but not counted","","251-500m",54,323919,6197940,-34.3449121,139.0856379,"verification required","Austrostipa sp.","GRAMINEAE","Spear-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Native grassland comprising mostly native species","Biele TRAC 1.3 km NNE of St Kitts","","Y"
"576","SUP18514-97205","SUP18514-97205","SU","BEETALOO VALLEY(NCSSA)",2001-10-05,"D","Day","FERGUSON R.J. ROSEMARY | JOHNSON R.S. Randall","present but not counted","","51-100m",54,236840,6323960,-33.19125,138.17727,"verified","Eucalyptus leucoxylon ssp.","MYRTACEAE","South Australian Blue Gum","","","Davies Track/ Western fence/ WoodlandsEnter Beetaloo reservoir southern road turn L at the Reservoir on track to Mount Zion (highest point) continue along this track to western boundary of SA Water land; site is approx 200 -250m back from SA Water boundary Davies track is about 50 m from site Site","","Y"
"577","SUP10211-16","SUP10211-16","SU","FLINDERS MANAGEMENT REVIEW",1988-07-30,"D","Day","BELLETTE K.J. Kathryn | JAY J. Justin | PITTS B. Brenda","present but not counted","","",54,315423,6635279,-30.4004,139.07866,"verified","Eucalyptus intertexta","MYRTACEAE","Gum-barked Coolibah","","","","Vulkathunha-Gammon Ranges (NP)","Y"
"578","OPP699712-90","OPP699712-90","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2011-12-12,"D","Day","PICKETT M.I. Marcus","present but not counted","","501-1000m",54,287202,6114600,-35.08895,138.6657,"verified","Exocarpos cupressiformis","SANTALACEAE","Native Cherry","","Potential habitat for SBB YTBC Antechinus and Painted Botton-quail.","Scott Ck A13","Scott Creek (CP)","Y"
"579","RVPU62752-79038","RVPU62752-79038","RV","",2002-03-13,"D","Day","STOREY J.D. James | BATEMAN T.V. Teresa","present but not counted","","501-1000m",54,296875,6188283,-34.42698746,138.7895124,"verification required","Lomandra sp.","LILIACEAE","Mat-rush","Collected using the DEWNR Roadside Vegetation Survey Methodology","Native grassland comprising mostly native species","Green RD 3 km ESE of Morn Hill","","Y"
"580","OPP620103-130","OPP620103-130","OP","DEWNR FIRE MANAGEMENT RAMBLE OBS",2013-03-22,"D","Day","PICKETT M.I. Marcus","present but not counted","","501-1000m",54,291500,6136300,-34.89433,138.71825,"verified","Pimelea linifolia ssp. linifolia","THYMELAEACEAE","Slender Riceflower","","","Morialta (Chapman Track) A15","Morialta (CP)","Y"
"581","SUP10532-16","SUP10532-16","SU","FLINDERS MANAGEMENT REVIEW",1987-06-10,"D","Day","GOULD P. Paul | PITTS B. Brenda","present but not counted","","",54,325022,6572504,-30.96801,139.16788,"verified","Malvastrum americanum var. americanum","MALVACEAE","Malvastrum","","","","","?"
"582","RVPO46519-199454","RVPO46519-199454","RV","",2001-11-09,"D","Day","CLARK P.D. Peter","present but not counted","","101-250m",54,270646,6259655,-33.77842013,138.523118,"verification required","Salvia verbenaca var.","LABIATAE","Wild Sage","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland","Lookout (10) RD 0.2 km NNE of The Lookout (summit)","","N"
"583","SUP17322-59004","SUP17322-59004","SU","VENUS BAY CP CR AND ENVIRONS",1999-09-08,"D","Day","HUEBNER L.W. Leila","present but not counted","","5-50m",53,468958,6331118,-33.15827,134.66711,"verified","Acacia cupularis","LEGUMINOSAE","Cup Wattle","","","Travel 1.6km from Port Kenny toward Streaky Bay and turn left onto track where finger board sign points to rubbish dump (north side of highway). Travel 150m from bitumen highway - site 7 being on right hand side - 35m off track (which is the eastern boundary of the Venus Bay Conservation Reserve).","Venus Bay (CP)","Y"
"584","RVPO27001-118725","RVPO27001-118725","RV","",2000-02-11,"D","Day","PLAYFAIR R.M. Roger","present but not counted","","101-250m",54,280344,6111062,-35.11935632,138.5895859,"verification required","Eucalyptus microcarpa","MYRTACEAE","Grey Box","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus microcarpa Woodland","Piggott Range RD 2.7 km ENE of Onkaparinga Hills (suburb centre)","","Y"
"585","RVPE35649-3","RVPE35649-3","RV","",2000-11-03,"D","Day","TELFER W.R. Wendy","present but not counted","","501-1000m",54,253060,6326183,-33.17504424,138.3516949,"verification required","Bursaria spinosa ssp. spinosa","PITTOSPORACEAE","Sweet Bursaria","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland and Herbland","Gladstone - Appila RD 4.7 km WSW of Caltowie West","","Y"
"586","RVPU77590-113929","RVPU77590-113929","RV","",2004-02-08,"D","Day","SUTHERLAND R.L. Robyn | TELFER S. Sarah","present but not counted","","251-500m",54,453189,6209767,-34.25216349,140.4916012,"verification required","Austrostipa sp.","GRAMINEAE","Spear-grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eremophila longifolia Shrubland","Barmera - Monash RD 1.5 km WNW of Hunt Hill (summit)","","Y"
"587","SUP8408-11","SUP8408-11","SU","SOUTH OLARY PLAINS",1991-08-06,"D","Day","MALCOLM L.A. Louise | KRAEHENBUEHL D.N. Darrell","present but not counted","","5-50m",54,422772,6302378,-33.41517,140.16939,"verified","Tetragonia eremaea/tetragonoides","AIZOACEAE","Native Spinach","","","1.4 km NE from Rsl Dam.","","Y"
"588","OPP413299-31","OPP413299-31","OP","MOKOTA CP VEGETATION MONITORING",2011-11-02,"D","Day","ROBERTSON M.A. Meg | KERIN B.L. Brooke","present but not counted","","5-50m",54,309275,6285293,-33.55499,138.94554,"verified","Rytidosperma sp.","GRAMINEAE","Wallaby-grass","Present in 4 subquadrats","","Mokota Conservation Park western slopes","Mokota (CP)","Y"
"589","SUP8862-10","SUP8862-10","SU","SOUTH EAST",1991-09-12,"D","Day","CANTY P.D. Peter | HEARD L.M.B. Lee","present but not counted","","5-50m",54,440443,5920245,-36.86185,140.33185,"verified","Astroloma humifusum","EPACRIDACEAE","Cranberry Heath","","","400-500m from the ...in a NNE direction from LUC0302. Note: this is a limestone ridge not a swamp.","","Y"
"590","OPP807088-5","OPP807088-5","OP","SCIENTIFIC PERMIT DATA - APPROVED",2017-09-21,"D","Day","BULL Z. Zeta","present but not counted","","251-500m",54,327487,6111257,-35.12678,139.10667,"verified","Avena barbata","GRAMINEAE","Bearded Oat","project did not proceed","","Thomas Crescent Monarto; Project = Monarto","","N"
"591","RVPO10049-36528","RVPO10049-36528","RV","",1998-11-12,"D","Day","PLAYFAIR R.M. Roger | PARRY K. Karen","present but not counted","","1-10km",54,248033,6453994,-32.02217623,138.3322066,"verification required","Asphodelus fistulosus","LILIACEAE","Onion Weed","Collected using the DEWNR Roadside Vegetation Survey Methodology","Grassland / Herbland dominated by alien species","Hawker - Stirling North RD 1.1 km ESE of Black Jack Hill (summit)","","N"
"592","RVPO8315-28375","RVPO8315-28375","RV","",1998-11-06,"D","Day","CLARK P.D. Peter | BEVAN K. Kirsty","present but not counted","","501-1000m",53,609829,6208442,-34.25936663,136.1929043,"verification required","Eucalyptus sp.","MYRTACEAE","","Collected using the DEWNR Roadside Vegetation Survey Methodology","Plantation ( Exotic sp. +/- Non-endemic native sp. +/- Endemic native sp.)","lincoln HWY 3.5 km ENE of Mount Watt (summit)","","Y"
"593","SUP31475-281650-AD226706","SUP31475-281650-AD226706","SU","MARQUALPIE LAND SYSTEM",2008-09-20,"D","Day","NEAGLE N.R. Nick | THOMAS M Merrine","present but not counted","AD226706","5-50m",54,483208,7027198,-26.87681,140.83094,"verified","Senna artemisioides ssp. zygophylla","LEGUMINOSAE","Twin-leaf Desert Senna","","","Drive N from Marqualpie Bore to boundary with Cordillo Downs then turn E and drive 2.5 km.","","Y"
"594","OPP847256-21","OPP847256-21","OP","SA FNS MAMMAL CLUB - GENERAL SVY",2005-03-25,"D","Day","HOWIE J. June","present but not counted","","5-50m",53,649318,6342994,-33.04134,136.59908,"verified","Cratystylis conocephala","COMPOSITAE","Bluebush Daisy","","Deep red sand on top of a low dune. Spindly mallee overstorey with dominant Triodia understorey.","Lake Gilles Conservation Park inside the western boundary.","Lake Gilles (CP)","Y"
"595","RVPO69687-305759","RVPO69687-305759","RV","",2003-09-25,"D","Day","MASON S.J. Sam | OBST C.S. Chris","present but not counted","","101-250m",54,487608,6154562,-34.75098931,140.8646075,"verification required","Marrubium vulgare","LABIATAE","Horehound","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus gracilis/ E. brachycalyx Mallee +/- E. phenax +/- E. oleosa +/- E. cyanophylla","Suez canal RD 5.3 km SSE of Meribah","","N"
"596","OPP681556-1","OPP681556-1","OP","YORKE DISTRICT AERIAL BOXTHORN CONTROL",2015-04-08,"D","Day","BARR M. Max | ANDERSON T. Tim","1","","5-50m",53,716201,6176508,-34.53043,137.35566,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","","Wardang Island; Boxthorn control site - aerial application of Graslan herbicide","","N"
"597","RVPO38221-166775","RVPO38221-166775","RV","",2000-12-06,"D","Day","PLAYFAIR R.M. Roger | OBST C.S. Chris","present but not counted","","251-500m",54,478375,6073522,-35.48159212,140.7616173,"verification required","Eucalyptus incrassata","MYRTACEAE","Ridge-fruited Mallee","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus incrassata Open Low Mallee","Pinaroo - Bordertown RD 19.8 km NNE of Ngarkat","","Y"
"598","RVPO21900-93344","RVPO21900-93344","RV","",1999-11-16,"D","Day","PLAYFAIR R.M. Roger | OBST C.S. Chris","present but not counted","","251-500m",54,319022,6174060,-34.55929688,139.0273778,"verification required","Plantago lanceolata var.","PLANTAGINACEAE","Ribwort","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus camaldulensis ? E. leucoxylon Woodland with grassy or sclerophyllous understorey","Long Gully RD 3.2 km SSE of Mengler Hill (summit)","","N"
"599","OPP671657-1","OPP671657-1","OP","YORKE DISTRICT AERIAL BOXTHORN CONTROL",2015-05-06,"D","Day","BARR M. Max | ANDERSON T. Tim","1","","5-50m",53,681853,6100257,-35.22426,136.9982,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","","","Marion Bay; Boxthorn control site - aerial application of Graslan herbicide","","N"
"600","SUP10395-21","SUP10395-21","SU","FLINDERS MANAGEMENT REVIEW",1988-05-30,"D","Day","BELLETTE K.J. Kathryn | GOULD P. Paul","present but not counted","","",54,307223,6630579,-30.44151,138.99248,"verified","Sclerolaena convexula","CHENOPODIACEAE","Tall Bindyi","","","","Vulkathunha-Gammon Ranges (NP)","Y"
"601","SUP16056-630","SUP16056-630","SU","RARE RODENTS PROJECT",1997-10-17,"D","Day","OWENS H.M. Helen","present but not counted","","5-50m",54,401564,6747291,-29.3998,139.98546,"verified","Duma coccoloboides","POLYGONACEAE","Sandhill Lignum","","","Montecollina Bore. AMG updated 5/4/05.","","Y"
"602","RVPO66414-289143","RVPO66414-289143","RV","",2002-09-25,"D","Day","SMYTH J. John | O'CONNOR H. Hazel","present but not counted","","",NA,NA,NA,NA,NA,"verification required","Lagurus ovatus","GRAMINEAE","Hare's Tail Grass","Collected using the DEWNR Roadside Vegetation Survey Methodology","Herbland dominated by alien species","Hull RD","","N"
"603","OPP517256-15","OPP517256-15","OP","MURRAY WETL'D ONGOING SAMDB NRMB",2008-01-14,"D","Day","NICKOLAI C.A. Callie | TAYLOR P.A. Pip","present but not counted","","5-50m",54,445391,6200009,-34.33978,140.40629,"verified","Heliotropium curassavicum","BORAGINACEAE","Smooth Heliotrope","LIFE_STAGE=F","","Location is Spectacle Lakes River Murray","","N"
"604","OPP605596-1","OPP605596-1","OP","DEFEATING THE WEED MENACE-ONGROUND WORKS",2014-05-06,"D","Day","NOT ENTERED - SEE ORIGINAL DATA  -","1","","5-50m",54,384513,5981541,-36.30422,139.7137,"verified","Lycium ferocissimum","SOLANACEAE","African Boxthorn","treated with grasslan applied. Herbicide applied from helicopter","","","Coorong (NP)","N"
"605","SUP6583-8","SUP6583-8","SU","MT LOFTY",1986-05-09,"D","Day","DAVIES R.J-P. Richard","present but not counted","","No entered",54,288202,6110563,-35.12553,138.67563,"verified","Acacia retinodes var. retinodes (NC)","LEGUMINOSAE","Wirilda","","","","","Y"
"606","OPP332708-1785482","OPP332708-1785482","OP","WOOMERA PROHIBITED AREA",2007-04-19,"D","Day","VONOW H.P. Helen | CUNNINGHAM D.D. Dean | RAMSAY A.K. Andrea","present but not counted","","5-50m",53,639252,6681483,-29.98966,136.44358,"verified","Paractaenum novae-hollandiae ssp. reversum","GRAMINEAE","Barbed-wire Grass","Annual grass to 15 cm high.","Low sand dunes with Acacia ligulata scattered Alectryon Tribulus and Chamaesyce.","20 km by road south-west of Westall Dam about 1 km south of Davies Dam.","","Y"
"607","RVPO65262-280641","RVPO65262-280641","RV","",2002-11-26,"D","Day","PLAYFAIR R.M. Roger | BENNETT F.J. Fiona","present but not counted","","1-10km",53,747905,6396218,-32.54374267,137.6398788,"verification required","Cynodon dactylon (NC)","GRAMINEAE","Couch","Collected using the DEWNR Roadside Vegetation Survey Methodology","Atriplex vesicaria Low Shrubland","Eyre HWY 3.3 km WNW of Observation Point (summit)","","N"
"608","OPP632749-1","OPP632749-1","OP","LOFTY BLOCK EPBC THREATENED ORCHIDS",2013-08-01,"M","Month","QUARMBY J. Joe","666","","5-50m",54,271480,6137094,-34.88286,138.49955,"verified","Pterostylis arenicola","ORCHIDACEAE","Sandhill Greenhood","Total = 666 Flowers = 331 Vegetative = 335.","","Grange Golf Course","","Y"
"609","SUP12242-4","SUP12242-4","SU","MT BROWN (NCSSA)",1994-10-23,"D","Day","BEN KAHN A. Ali | SMITH F.M. Felicity","present but not counted","","51-100m",54,219722,6406079,-32.44562,138.02005,"verified","Austrostipa nodosa","GRAMINEAE","Tall Spear-grass","","","Near park fence line.","Mount Brown (CP)","Y"
"610","RVPO40701-175595","RVPO40701-175595","RV","",2001-03-10,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","501-1000m",53,559455,6333280,-33.13757589,135.6374451,"verification required","Gramineae sp.","GRAMINEAE","Grass Family","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus oleosa Mallee","Eyre Highway HWY 3.6 km ENE of Cayancutta (summit)","","Y"
"611","RVPO33838-148656","RVPO33838-148656","RV","",2000-10-25,"D","Day","MILNE S.J. Stephen | TELFER S. Sarah","present but not counted","","501-1000m",53,613708,6282409,-33.59198738,136.2254373,"verification required","Eucalyptus gracilis","MYRTACEAE","Yorrell","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus incrassata / E. socialis +/- E. gracilis +/- E. leptophylla Mallee","Cummins-Buckleboo RAIL 0.6 km SSE of Kielpa","","Y"
"612","RVPO46878-201461","RVPO46878-201461","RV","",2001-11-13,"D","Day","CLARK P.D. Peter","present but not counted","","501-1000m",54,279760,6226364,-34.08034032,138.6131144,"verification required","Agave americana var. (NC)","AGAVACEAE","Century Plant","Collected using the DEWNR Roadside Vegetation Survey Methodology","Exotic Grassland","Wandels (101) RD 1.1 km ESE of Sheoak Hill (summit)","","N"
"613","OPP800651-36","OPP800651-36","OP","BDBSA RESERVES DATABASE",1999-09-01,"M","Month","MURFET D.E. Denzel | TAPLIN R.L. Rosemary","present but not counted","","1-10km",53,412319,6409118,-32.45165,134.06714,"verified","Westringia dampieri","LABIATAE","Shore Westringia","","","","Acraman Creek (CP)","Y"
"614","SUP8057-16","SUP8057-16","SU","FLINDERS MANAGEMENT REVIEW",1991-08-29,"D","Day","NOT ENTERED - SEE ORIGINAL DATA  -","present but not counted","","",54,293923,6578379,-30.91001,138.84362,"verified","Omphalolappula concava","BORAGINACEAE","Burr Stickseed","","","1km SE from Ben Lomond.","","Y"
"615","SUP10624-3","SUP10624-3","SU","FLINDERS MANAGEMENT REVIEW",1988-04-06,"D","Day","BELLETTE K.J. Kathryn | GOULD P. Paul","present but not counted","","",54,293523,6624679,-30.49244,138.84873,"verified","Atriplex stipitata","CHENOPODIACEAE","Bitter Saltbush","","","","","Y"
"616","RVPO88460-399533","RVPO88460-399533","RV","",2008-05-08,"D","Day","O'NEILL S. Sally | FRAZER D.S. Deb","present but not counted","","1-10km",54,334757,6208794,-34.24886076,139.2054988,"verification required","Avena barbata","GRAMINEAE","Bearded Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus porosa +/-E. dumosa +/-E. odorata +/-E. oleosa  +/-Acacia pycnantha +/-Alectryon oleifolius +/-Callitris gracilis Mallee","Frankton RD 3 km ESE of Neales Flat","","N"
"617","OPP65649-1483116-AD99934275","OPP65649-1483116-AD99934275","OP","ANANGU PITJANTJATJARA LANDS",1998-10-24,"D","Day","CANTY P.D. Peter | LANG P.J. Peter | BRANDLE R. Robert","present but not counted","AD99934275","51-100m",52,747084,7097866,-26.21756,131.47303,"verified","Eucalyptus sparsa","MYRTACEAE","Northern Ranges Box","","Cyperus sedgeland with a few Red gums","Rock ridge summit 1288","","Y"
"618","OPP477076-1","OPP477076-1","OP","KANGAROO ISLAND WEEDS REGISTER",2005-09-23,"D","Day","KANGAROO ISLAND - DEWNR K.I. DEWNR","present but not counted","","5-50m",53,732936,6030708,-35.84017,137.57904,"verified","Asparagus declinatus","LILIACEAE","","","","","","N"
"619","OPP329121-1505298","OPP329121-1505298","OP","MLR GRID WEED SURVEYS (NPWSA)",2000-01-06,"D","Day","MITCHELL F. Fay","present but not counted","","101-250m",54,300122,6160978,-34.67368,138.81841,"verified","Hibbertia australis (NC)","DILLENIACEAE","Stalked Guinea-flower","BRAUN_BLANQUET_DENSITY = 3","","185","Para Wirra (CP)","Y"
"620","OPP798096-35","OPP798096-35","OP","BDBSA RESERVES DATABASE",1970-01-01,"T","Decade","NCS-(SA)  Nature Conservation Socie | LEHMANN P. N/A","present but not counted","","1-10km",54,362701,6196430,-34.36439,139.5069,"verified","Enchylaena tomentosa var. tomentosa","CHENOPODIACEAE","Ruby Saltbush","","","","Brookfield (CP)","Y"
"621","SUP12419-11","SUP12419-11","SU","STONY DESERTS",1994-11-04,"D","Day","CANTY P.D. Peter | MORELLI J. Josie","present but not counted","","5-50m",54,469573,7059095,-26.58859,140.69443,"verified","Enchylaena tomentosa var.","CHENOPODIACEAE","Ruby Saltbush","","","4 km SSW from Mt Gow.","","Y"
"622","RVPO68163-298316","RVPO68163-298316","RV","",2003-09-22,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","5-50m",54,280877,6121177,-35.02833995,138.5981104,"verification required","Olea europaea ssp.","OLEACEAE","Olive","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus microcarpa Woodland","Colebrook Drive DR 0.8 km SSE of Eden Hills (suburb centre)","","N"
"623","OPP526584-49","OPP526584-49","OP","EBS ECOLOGY - FLORA & FAUNA SURVEY SA",2012-05-18,"D","Day","KENNY S.D. Sue | KELMAN R.J. Rob","present but not counted","","0-5m",53,485976,6554150,-31.14652,134.85287,"verified","Pittosporum angustifolium","PITTOSPORACEAE","Native Apricot","","","","","Y"
"624","SUP1469-14","SUP1469-14","SU","MOUNT LOFTY RANGES (DEP 1981)",1979-05-30,"D","Day","NOT ENTERED - SEE ORIGINAL DATA  -","present but not counted","","",54,294622,6127878,-34.97085,138.75032,"verified","Epacris impressa","EPACRIDACEAE","Common Heath","","","","54 (HA)","Y"
"625","SUP20898-124898","SUP20898-124898","SU","STRZELECKI  (B. SPARROW)",2002-11-18,"D","Day","SPARROW B. Ben | LEITCH E.J. Emrys","present but not counted","","5-50m",54,309408,6859164,-28.38,139.0549,"verified","Tecticornia pluriflora","CHENOPODIACEAE","","","","","","Y"
"626","RVPO3106-9747","RVPO3106-9747","RV","",1997-12-19,"D","Day","PLAYFAIR R.M. Roger | ROTHE (EX LAVER) S.M. Samantha","present but not counted","","101-250m",54,322881,6146224,-34.81084842,139.0635821,"verification required","Avena barbata","GRAMINEAE","Bearded Oat","Collected using the DEWNR Roadside Vegetation Survey Methodology","Mixed grassland dominated by alien grass species","Buckleys RD 1.4 km NNW of Tungkillo","","N"
"627","SUP6825-9","SUP6825-9","SU","MT LOFTY",1986-05-15,"D","Day","DAVIES R.J-P. Richard","present but not counted","","",54,285662,6113828,-35.09558,138.64862,"verified","Pultenaea acerosa","LEGUMINOSAE","Bristly Bush-pea","","","","","Y"
"628","OPP37232-1782129","OPP37232-1782129","OP","SANDY DESERT",2006-08-01,"D","Day","MCDONALD J.T. John","present but not counted","","5-50m",53,686870,6933355,-27.71117,136.89535,"verified","Sclerolaena lanicuspis","CHENOPODIACEAE","Spinach Bindyi","Floodplain on firm sandy clays.","Acacia victoriae Open Shrubland - much of mature plants are dead.","","","Y"
"629","RVPU38781-41902","RVPU38781-41902","RV","",2000-11-14,"D","Day","TELFER W.R. Wendy","present but not counted","","501-1000m",54,255787,6326526,-33.17257022,138.3809965,"verification required","Scabiosa atropurpurea","DIPSACACEAE","Pincushion","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus sp. Plantation","Laura - Caltowie RD 2.4 km SSW of Caltowie West","","N"
"630","OPP329210-1506716","OPP329210-1506716","OP","MLR GRID WEED SURVEYS (NPWSA)",2000-02-09,"D","Day","MITCHELL F. Fay","present but not counted","","101-250m",54,300422,6156978,-34.70978,138.82074,"verified","Olea europaea ssp.","OLEACEAE","Olive","removed 1999   BRAUN_BLANQUET_DENSITY = 3","","612","Para Wirra (CP)","N"
"631","SUP10424-28","SUP10424-28","SU","FLINDERS MANAGEMENT REVIEW",1988-04-19,"D","Day","GREENWOOD G. Graeme | PITTS B. Brenda","present but not counted","","",54,353923,6650428,-30.26902,139.4814,"verified","Solanum lithophilum/quadriloculatum","SOLANACEAE","","","","","","Y"
"632","SUP12470-22","SUP12470-22","SU","STONY DESERTS",1995-05-06,"D","Day","VONOW H.P. Helen | O'CONNOR P.J. Patrick","present but not counted","","5-50m",54,384730,7037040,-26.7833,139.84044,"verified","Atriplex spongiosa","CHENOPODIACEAE","Pop Saltbush","","","9.5 km SW from Dickinna Hill.","","Y"
"633","RVPU62797-79167","RVPU62797-79167","RV","",2002-10-17,"D","Day","CLARK P.D. Peter | HIGGINS G.M. Graeme","present but not counted","","101-250m",54,397534,6231174,-34.05514448,139.8897381,"verification required","Zygophyllum eremaeum (NC)","ZYGOPHYLLACEAE","Pale-flower Twinleaf","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus oleosa / E. brachycalyx Mallee","Burra - Renmark RD 2.1 km NNW of Riversleigh (homestead)","","Y"
"634","OPP178466-1511766","OPP178466-1511766","OP","WAITE CONSERVATION RESERVE",2003-04-23,"D","Day","LANG P.J. Peter","present but not counted","","0-5m",54,284503,6126678,-34.97956,138.63925,"verified","Eucalyptus microcarpa","MYRTACEAE","Grey Box","","Eucalyptus microcarpa Woodland over Avena barbata and Olea europaea.","Waite Hills Conservation Reserve. Heritage Agreement area HA 1262. Southern area c. 5 m below (NW of) vehicle track from southern boundary to Koala Gully.","1262 (HA)","Y"
"635","OPP799570-20","OPP799570-20","OP","BDBSA RESERVES DATABASE",1993-05-15,"D","Day","MURFET D.E. Denzel | TAPLIN R.L. Rosemary","present but not counted","","1-10km",54,406693,6000404,-36.13659,139.96295,"verified","Hemichroa pentandra","AMARANTHACEAE","Trailing Hemichroa","","","","Bunbury (CR)","Y"
"636","SUP7882-15","SUP7882-15","SU","FLINDERS MANAGEMENT REVIEW",1990-08-29,"D","Day","MALCOLM L.A. Louise | PLAYFAIR R.M. Roger","present but not counted","","No entered",54,328422,6582679,-30.87674,139.20518,"verified","Lepidium oxytrichum","CRUCIFERAE","Green Peppercress","","","2km SW from Wearing Well.","","Y"
"637","OPP722161-2","OPP722161-2","OP","KANGAROO ISLAND FLORA - KI",2015-10-19,"D","Day","HABY M. Michelle","present but not counted","","0-5m",53,670203,6039482,-35.774,136.883,"verified","Spyridium vexilliferum","RHAMNACEAE","Winged Spyridium","","","Section 41 Hundred Gosse","","Y"
"638","RVPU94303-160256","RVPU94303-160256","RV","",2012-05-02,"D","Day","DICKSON C.R. Cath | CARR C. Chris","present but not counted","","251-500m",54,444639,5876959,-37.25226986,140.3757345,"verification required","Acacia melanoxylon","LEGUMINOSAE","Blackwood","Collected using the DEWNR Roadside Vegetation Survey Methodology","Eucalyptus baxteri / E. camaldulensis var. camaldulensis Woodland","Khayyam RD 5.1 km SSE of Fox","","Y"
"639","SUP6947-8","SUP6947-8","SU","MT LOFTY",1986-04-28,"D","Day","KING F. Fleur","present but not counted","","",54,300152,6155808,-34.72028,138.81751,"verified","Hibbertia sericea var. sericea (NC)","DILLENIACEAE","Silky Guinea-flower","","","","","Y"
